Round,TrainLoss,TrainAcc,TestLoss,TestAcc
0,4.05399267,0.0479,4.10186674,0.0561
1,3.94117274,0.0558,3.94362061,0.0561
2,3.81656705,0.0621,3.75252474,0.0577
3,3.85156166,0.0454,3.84841074,0.0266
4,3.75508808,0.0522,3.75536550,0.0626
5,3.69882360,0.0611,3.90098376,0.1003
6,3.73599467,0.0453,3.68827814,0.0572
7,3.74451469,0.0570,3.75777055,0.0267
8,3.75996778,0.0458,3.67756473,0.0242
9,3.68026381,0.0586,3.64990862,0.0897
10,3.69029827,0.0537,3.61991730,0.0573
11,3.61442371,0.0668,3.59910070,0.0688
12,3.60410835,0.0633,3.58327624,0.0850
13,3.48652281,0.0789,3.56552053,0.0591
14,3.51309192,0.0851,3.54655646,0.0687
15,3.40337335,0.0907,3.50885939,0.1995
16,3.46251482,0.0890,3.46222497,0.2421
17,3.44861932,0.1054,3.41950096,0.1974
18,3.38531200,0.1426,3.34370508,0.2848
19,3.24164000,0.1774,3.19097887,0.3477
20,3.28645178,0.1880,3.08896384,0.3114
21,3.15303323,0.2204,2.97614265,0.3894
22,3.00560124,0.2625,2.80664072,0.4232
23,2.98450016,0.2901,2.70287565,0.3852
24,2.76612651,0.3307,2.50883005,0.4734
25,2.65611410,0.3503,2.39938690,0.4611
26,2.44084550,0.4254,2.38466140,0.4678
27,2.55907685,0.3904,2.27896673,0.4879
28,2.35945358,0.4614,2.17590293,0.4884
29,2.33947142,0.4538,2.10326483,0.4946
30,2.32417916,0.4507,2.10378688,0.4963
31,2.16632508,0.4882,1.98534369,0.5355
32,1.88531399,0.5578,1.95529383,0.5247
33,1.94529695,0.5252,1.93526521,0.5425
34,1.97167973,0.5300,1.80146839,0.5609
35,1.96292131,0.5162,1.77697360,0.5731
36,1.73292666,0.5852,1.82435128,0.5598
37,1.95726697,0.5222,1.79875699,0.5379
38,2.02077806,0.5007,1.69925322,0.5841
39,1.95007619,0.5111,1.63403384,0.5775
40,1.92223403,0.5193,1.62085542,0.5932
41,1.66817188,0.5735,1.59260477,0.5791
42,1.85348137,0.5417,1.50173952,0.6096
43,1.82600224,0.5373,1.50991116,0.6115
44,1.78588113,0.5530,1.42437744,0.6334
45,1.62836822,0.5849,1.40637311,0.6356
46,1.56616181,0.6120,1.39814691,0.6270
47,1.47777395,0.6265,1.37372943,0.6385
48,1.49093742,0.6055,1.36204880,0.6351
49,1.73120166,0.5507,1.35223335,0.6395
50,1.51224644,0.6059,1.29610792,0.6512
51,1.58173059,0.5936,1.31623693,0.6502
52,1.39977809,0.6480,1.27740523,0.6561
53,1.45015136,0.6173,1.26635771,0.6526
54,1.43485982,0.6289,1.23255670,0.6557
55,1.32956376,0.6484,1.20887029,0.6601
56,1.38681036,0.6396,1.22961707,0.6593
57,1.51209575,0.6027,1.17365841,0.6723
58,1.33292516,0.6426,1.18531167,0.6645
59,1.39690634,0.6426,1.15594857,0.6771
60,1.13614807,0.6879,1.12505092,0.6828
61,1.34516182,0.6586,1.13687272,0.6791
62,1.20239359,0.6742,1.09596249,0.6836
63,1.18877101,0.6755,1.08147205,0.6945
64,1.27010876,0.6566,1.10484751,0.6866
65,1.34831908,0.6360,1.18166337,0.6631
66,1.22614730,0.6834,1.05975894,0.6959
67,1.27912202,0.6681,1.05319642,0.7011
68,1.30863142,0.6475,1.09518032,0.6885
69,1.22130786,0.6632,1.02474874,0.7121
70,1.22675882,0.6581,1.03344356,0.7068
71,1.26826952,0.6767,0.99504634,0.7162
72,1.16280460,0.6828,1.03725413,0.7054
73,1.06923006,0.6974,1.01214628,0.6990
74,1.10980676,0.7040,1.02212792,0.6967
75,1.15358231,0.6879,0.99020590,0.7114
76,1.19994179,0.6754,1.03063277,0.6987
77,1.16702390,0.6997,1.01649374,0.6994
78,1.12550929,0.6855,0.99702116,0.7016
79,1.25552742,0.6593,1.05523558,0.6866
80,1.16863467,0.6918,0.97599628,0.7104
81,1.11786338,0.6987,0.91593638,0.7320
82,0.96912671,0.7271,0.91203341,0.7360
83,1.17011779,0.6840,0.91092108,0.7303
84,1.07254512,0.7054,0.91270199,0.7330
85,1.15171934,0.7026,0.90230319,0.7366
86,1.13730813,0.6780,1.00050570,0.7038
87,1.14485487,0.6889,0.89885338,0.7326
88,1.12099074,0.6945,0.92651341,0.7198
89,0.86966896,0.7547,0.88100749,0.7385
90,1.02495242,0.7190,0.88169574,0.7440
91,0.90805095,0.7510,0.88127602,0.7377
92,1.13768717,0.6890,0.90047569,0.7290
93,0.95885906,0.7450,0.87219537,0.7424
94,1.07982392,0.7002,0.89100835,0.7255
95,1.14384501,0.6776,1.02923012,0.7017
96,0.92950583,0.7328,0.86596617,0.7430
97,0.97219971,0.7354,1.07360936,0.6793
98,1.05453999,0.6950,0.88845199,0.7361
99,1.16070138,0.6846,0.87148861,0.7379
100,1.07888081,0.6819,0.84233592,0.7439
101,1.14524921,0.6775,0.82924729,0.7542
102,0.98594140,0.7140,0.82939476,0.7467
103,0.96751537,0.7322,0.81339557,0.7563
104,0.96819531,0.7193,0.85406920,0.7433
105,1.18951502,0.6795,0.82999499,0.7507
106,0.96442480,0.7196,0.82872362,0.7440
107,0.88460239,0.7387,0.85582295,0.7354
108,1.04941905,0.7034,0.80428518,0.7571
109,1.27392165,0.6754,0.89120450,0.7413
110,1.07876136,0.6921,0.80587568,0.7639
111,1.00217182,0.7252,0.80728750,0.7555
112,1.08952166,0.7010,0.80289631,0.7607
113,1.01115420,0.7154,0.79393578,0.7587
114,1.04058014,0.7175,0.79393446,0.7606
115,0.94390082,0.7323,0.79050523,0.7557
116,1.00497283,0.7214,0.89161057,0.7377
117,0.86158391,0.7613,0.82963430,0.7412
118,0.93622285,0.7273,0.78477318,0.7627
119,0.85625264,0.7504,0.84373373,0.7458
120,1.00338511,0.7174,0.83911392,0.7384
121,0.92470512,0.7430,0.77518124,0.7571
122,0.99049127,0.7211,0.78514732,0.7614
123,0.85972640,0.7499,0.85706208,0.7331
124,1.06979606,0.6997,0.77580168,0.7642
125,0.84732445,0.7635,0.75624621,0.7706
