Round,TrainLoss,TrainAcc,TestLoss,TestAcc
0,3.96431218,0.0533,4.00321489,0.0562
1,3.90318882,0.0655,3.96732598,0.0582
2,3.83301677,0.0554,3.78356675,0.0582
3,3.84669900,0.0539,3.87381287,0.0597
4,3.76889641,0.0564,3.77412830,0.0554
5,3.73191489,0.0601,3.85739021,0.0567
6,3.68785735,0.0469,3.63555589,0.0626
7,3.64019405,0.0543,3.67578431,0.0596
8,3.69400376,0.0503,3.61043640,0.0596
9,3.67352582,0.0531,3.60714177,0.0567
10,3.71659539,0.0482,3.67939769,0.0648
11,3.67851681,0.0686,3.65371794,0.0757
12,3.58534451,0.0693,3.59925959,0.0561
13,3.55452501,0.0878,3.57430354,0.2338
14,3.56373532,0.0907,3.50371562,0.1967
15,3.47202674,0.1060,3.38426720,0.2263
16,3.32713598,0.1485,3.27518518,0.2398
17,3.25990830,0.1852,3.13292882,0.2536
18,3.05280784,0.2250,3.02212400,0.2621
19,2.92913708,0.2461,2.91573417,0.3019
20,2.91860166,0.2883,2.74983837,0.3547
21,2.81756638,0.3029,2.73170959,0.3687
22,2.70289294,0.3319,2.58060066,0.3691
23,2.67258918,0.3452,2.54205371,0.3731
24,2.67807122,0.3451,2.37631078,0.4338
25,2.42694970,0.4018,2.31601092,0.4392
26,2.40266189,0.4235,2.26593681,0.4602
27,2.29751118,0.4395,2.29025359,0.4482
28,2.25569980,0.4595,2.10708412,0.5092
29,2.39756904,0.4154,2.09507802,0.4949
30,2.45327668,0.4054,2.08792985,0.4913
31,2.13862502,0.4842,1.91980450,0.5321
32,2.00322572,0.5151,1.87331467,0.5343
33,1.85856015,0.5364,1.91115617,0.5201
34,1.96019831,0.5221,1.78573616,0.5668
35,2.09821837,0.4890,1.72729081,0.5747
36,1.81878347,0.5182,1.73037141,0.5817
37,2.00160389,0.4967,1.59443014,0.5999
38,1.72336562,0.5738,1.60564832,0.5970
39,1.68388011,0.5704,1.58339759,0.6002
40,1.80329916,0.5575,1.54671422,0.6119
41,1.63802922,0.5574,1.50642985,0.6070
42,1.64979855,0.5969,1.43538605,0.6267
43,1.50391265,0.6226,1.37547780,0.6367
44,1.67297478,0.5677,1.35149472,0.6382
45,2.14037894,0.4841,1.43614920,0.6292
46,1.69095367,0.5655,1.33626225,0.6403
47,1.51408863,0.6011,1.27003101,0.6577
