Round,TrainLoss,TrainAcc,TestLoss,TestAcc
0,4.10801026,0.0330,4.10813339,0.0381
1,4.09425454,0.0430,4.09322746,0.0270
2,4.07745652,0.0480,4.07488261,0.0244
3,4.05443402,0.0430,4.05598765,0.0297
4,4.02570057,0.0460,4.02780064,0.0177
5,4.00512782,0.0420,4.00324381,0.0177
6,3.99419734,0.0560,3.98046402,0.0246
7,3.91315676,0.0650,3.96318366,0.0177
8,3.95610706,0.0470,3.94575430,0.0177
9,3.94029164,0.0380,3.92239376,0.0177
10,3.88467357,0.0540,3.90025331,0.0270
11,3.91432872,0.0460,3.88805156,0.0244
12,3.88651703,0.0450,3.87490180,0.0244
13,3.89204572,0.0450,3.87195866,0.0244
14,3.87581579,0.0600,3.85273410,0.0244
15,3.82160018,0.0700,3.85282080,0.0244
16,3.86846052,0.0540,3.84892734,0.0244
17,3.83792924,0.0550,3.85388134,0.0269
18,3.83482661,0.0690,3.84248831,0.0269
19,3.85358640,0.0420,3.83547170,0.0304
20,3.87741581,0.0500,3.83561374,0.0244
21,3.81160742,0.0580,3.83164603,0.0244
22,3.85093368,0.0620,3.82650574,0.0244
23,3.82563929,0.0360,3.80013163,0.0244
24,3.83752533,0.0460,3.80417459,0.0317
25,3.79154256,0.0620,3.78376290,0.0269
26,3.81071845,0.0560,3.78557726,0.0212
27,3.79757971,0.0570,3.79178825,0.0211
28,3.80797862,0.0500,3.79419916,0.0244
29,3.81019226,0.0440,3.79252203,0.0323
30,3.84809715,0.0570,3.80036814,0.0269
31,3.74681473,0.0540,3.78501231,0.0244
32,3.80804251,0.0560,3.78558158,0.0244
33,3.79887721,0.0480,3.78790634,0.0244
34,3.78821281,0.0500,3.78707419,0.0244
35,3.78625404,0.0500,3.78802049,0.0244
36,3.87811323,0.0360,3.79120103,0.0244
37,3.81703057,0.0450,3.79307248,0.0244
38,3.80649471,0.0500,3.79186922,0.0244
39,3.83483402,0.0520,3.79150312,0.0244
40,3.82015088,0.0360,3.78712263,0.0274
41,3.74948749,0.0460,3.78692476,0.0308
42,3.78755193,0.0440,3.77529383,0.0244
43,3.79512568,0.0560,3.77111721,0.0269
44,3.76127106,0.0530,3.77181524,0.0269
45,3.83738360,0.0390,3.77438810,0.0269
46,3.80356824,0.0670,3.78698175,0.0269
47,3.74864495,0.0450,3.78802697,0.0388
48,3.78646443,0.0580,3.77716837,0.0244
49,3.81073396,0.0390,3.76603249,0.0269
50,3.76631985,0.0540,3.77340956,0.0294
51,3.79599022,0.0410,3.77332685,0.0244
52,3.79759699,0.0610,3.78526088,0.0244
53,3.73634994,0.0620,3.78500560,0.0244
54,3.77209027,0.0460,3.77997195,0.0269
55,3.77540082,0.0540,3.77412501,0.0269
56,3.72040448,0.0750,3.79119379,0.0269
57,3.78797824,0.0600,3.78873951,0.0269
58,3.79817968,0.0590,3.78532240,0.0244
